acceptance;stock_amount;cost;curr_stock_price;paid_stock_price;proportion;personality;life_time;buyer_name;seller_name;stock_owner_name
Y;2275;22656;7.22;9.96;1.38;A;114683;company9;company10;company10
N;780;25136;20.56;32.23;1.57;A;126223;company5;company9;company6
Y;2275;16766;5.21;7.37;1.41;A;138745;company10;company9;company10
N;3532;46558;14.95;13.18;0.88;A;193885;company5;company9;company6
N;2056;46547;14.09;22.64;1.61;A;201395;company5;company9;company6
Y;2455;48465;12.42;19.74;1.59;A;9438;company13;company10;company10
N;2489;91696;38.10;36.84;0.97;A;10809;company15;company1;company1
N;1066;60358;38.10;56.62;1.49;A;14320;company7;company1;company1
N;5001;65008;11.72;13.00;1.11;R;23026;company5;company15;company15
N;2455;28446;9.94;11.59;1.17;R;23064;company10;company13;company10
N;2398;73957;26.15;30.84;1.18;R;25436;company12;company7;company7
N;4076;93098;24.60;22.84;0.93;R;30440;company5;company7;company7
Y;5001;74332;11.39;14.86;1.30;R;32038;company10;company15;company15
N;2409;75047;23.73;31.15;1.31;R;35458;company2;company7;company7
N;5001;92084;20.54;18.41;0.90;A;39701;company9;company3;company3
N;2425;134940;45.56;55.65;1.22;R;40438;company15;company8;company8
N;3263;106552;26.13;32.65;1.25;R;45470;company9;company12;company12
Y;2878;93927;19.53;32.64;1.67;A;45707;company5;company3;company3
Y;2455;38987;9.17;15.88;1.73;R;50598;company10;company13;company10
