stock_ammount;cost;curr_stock_price;paid_ratio;personality;acceptance
5000;15000;2.5;3.0;"R";Y
5000;15000;2.5;3.0;"A";Y
5000;10000;2.5;3.0;"A";N
5000;10000;2.5;3.0;"R";N
